customer_id,name,region,signup_date
63,Customer 63,West,2024-09-24
64,Customer 64,East,2024-12-30
65,Customer 65,South,2024-08-16
66,Customer 66,East,2024-09-02
67,Customer 67,East,2024-07-23
68,Customer 68,South,2024-01-30
69,Customer 69,South,2025-04-28
70,Customer 70,South,2025-04-02
71,Customer 71,South,2025-01-08
72,Customer 72,West,2024-08-20
73,Customer 73,South,2024-07-28
74,Customer 74,West,2025-05-05
75,Customer 75,South,2024-03-27
76,Customer 76,West,2025-02-01
77,Customer 77,East,2025-05-04
78,Customer 78,Central,2024-12-06
79,Customer 79,Central,2025-04-19
80,Customer 80,West,2024-06-11
81,Customer 81,East,2024-01-29
82,Customer 82,Central,2024-05-29
83,Customer 83,Central,2024-12-24
84,Customer 84,East,2024-01-22
85,Customer 85,,2024-04-15
86,Customer 86,East,2025-03-20
87,Customer 87,East,2024-08-04
88,Customer 88,,2024-08-05
89,Customer 89,East,2025-08-23
90,Customer 90,Central,2024-05-14
91,Customer 91,South,2025-04-14
92,Customer 92,Central,2025-05-28
93,Customer 93,East,2025-06-20
94,Customer 94,Central,2024-07-06
95,Customer 95,East,2024-06-25
96,Customer 96,West,2025-07-23
97,Customer 97,Central,2024-04-18
98,Customer 98,West,2024-09-11
99,Customer 99,West,2024-04-10
100,Customer 100,West,2024-03-05
101,Customer 101,East,2024-10-10
102,Customer 102,Central,2025-06-03
103,Customer 103,South,2025-07-26
104,Customer 104,East,2025-04-03
105,Customer 105,West,2025-02-05
106,Customer 106,West,2024-09-03
107,Customer 107,East,2024-11-06
108,Customer 108,East,2025-01-09
109,Customer 109,East,2025-04-23
110,Customer 110,West,2025-02-11
111,Customer 111,East,2024-08-17
112,Customer 112,Central,2025-06-11
113,Customer 113,Central,2024-07-19
114,Customer 114,West,2025-01-09
115,Customer 115,,2025-07-21
116,Customer 116,West,2025-01-28
117,Customer 117,South,2025-06-08
118,Customer 118,West,2024-08-22
119,Customer 119,West,2024-03-27
120,Customer 120,West,2024-07-04
121,Customer 121,East,2025-03-08
122,Customer 122,South,2025-02-19
123,Customer 123,Central,2024-11-30
124,Customer 124,West,2024-07-06
125,Customer 125,West,2024-10-02
126,Customer 126,West,2024-09-23
127,Customer 127,East,2024-03-09
128,Customer 128,West,2025-04-09
129,Customer 129,,2025-07-20
130,Customer 130,South,2024-05-12
131,Customer 131,,2024-09-01
132,Customer 132,East,2024-09-25
133,Customer 133,East,2024-11-15
134,Customer 134,East,2024-10-23
135,Customer 135,East,2024-10-04
136,Customer 136,West,2024-09-13
137,Customer 137,,2024-01-19
138,Customer 138,East,2025-06-10
139,Customer 139,Central,2024-04-18
140,Customer 140,Central,2025-05-21
141,Customer 141,Central,2025-06-02
142,Customer 142,East,2024-08-23
143,Customer 143,East,2025-02-18
144,Customer 144,West,2024-05-12
145,Customer 145,,2024-09-18
146,Customer 146,West,2024-03-27
147,Customer 147,Central,2025-06-02
148,Customer 148,South,2024-09-05
149,Customer 149,West,2025-04-15
150,Customer 150,South,2025-04-01
151,Customer 151,,2025-01-07
152,Customer 152,South,2024-09-07
153,Customer 153,,2024-11-12
154,Customer 154,East,2024-01-02
155,Customer 155,West,2025-05-01
156,Customer 156,East,2024-09-11
157,Customer 157,West,2024-04-03
158,Customer 158,West,2024-05-27
159,Customer 159,West,2025-02-07
160,Customer 160,,2024-11-07
161,Customer 161,West,2025-08-22
162,Customer 162,East,2025-02-02
163,Customer 163,Central,2024-06-02
164,Customer 164,East,2024-02-14
165,Customer 165,Central,2025-06-01
166,Customer 166,West,2025-08-21
167,Customer 167,East,2024-03-28
168,Customer 168,,2024-05-16
169,Customer 169,West,2025-01-20
170,Customer 170,West,2024-01-20
171,Customer 171,East,2025-05-16
172,Customer 172,Central,2024-03-12
173,Customer 173,West,2025-06-22
174,Customer 174,Central,2024-09-15
175,Customer 175,South,2024-08-28
176,Customer 176,East,2024-08-24
177,Customer 177,Central,2025-05-20
178,Customer 178,West,2025-05-05
179,Customer 179,South,2024-02-17
180,Customer 180,East,2024-03-20
181,Customer 181,South,2024-09-17
182,Customer 182,South,2025-08-04
183,Customer 183,Central,2024-03-03
184,Customer 184,West,2024-08-10
185,Customer 185,South,2025-06-12
186,Customer 186,Central,2025-04-22
187,Customer 187,East,2024-11-15
188,Customer 188,Central,2024-01-18
189,Customer 189,West,2025-06-02
190,Customer 190,Central,2024-10-02
191,Customer 191,East,2024-03-17
192,Customer 192,East,2025-06-20
193,Customer 193,South,2024-05-15
194,Customer 194,South,2024-04-25
195,Customer 195,East,2025-05-24
196,Customer 196,Central,2025-02-07
197,Customer 197,,2024-01-04
198,Customer 198,Central,2025-02-19
199,Customer 199,East,2025-03-02
200,Customer 200,South,2024-05-03
